sunlight_inverted,growth_inverted
1.62,25.78
71.54,6.83
25.58,63.96
6.65,29.99
41.85,27.39
13.59,9.55
20.5,36.35
36.55,9.43
22.67,25.38
99.3,21.52
7.67,29.11
54.23,30.62
49.73,50.23
25.39,19.78
54.9,16.83
18.17,20.81
99.56,54.48
93.18,55.17
44.51,45.17
95.22,26.17
20.14,37.07
16.17,34.06
27.78,12.06
61.85,49.25
2.05,43.69
30.06,16.25
76.8,63.68
43.48,20.98
32.26,40.26
83.7,42.9
11.35,0
11.23,72.32
93.88,36.51
61.94,49.43
12.68,10.41
63.93,36.35
42.21,22.02
59.84,41.82
16.38,26.46
22.52,25.44
40.84,68.84
89.14,62.41
27.36,51.03
96.08,52.41
42.49,32.1
72.86,20.86
95.94,32.04
40.4,57.34
32.85,14.14
58.26,52.79
46.62,32.07
74.29,29.0
89.36,57.61
96.35,28.97
95.59,25.49
43.14,20.9
83.89,31.21
81.52,50.77
88.1,26.8
14.48,6.73
4.14,34.1
12.81,27.53
87.82,49.88
51.43,39.61
85.12,53.91
20.48,49.18
38.48,34.51
88.78,24.27
43.31,63.56
97.57,15.51
