ad_spend_inverted,sales_inverted
40.26,47.99
50.2,45.92
64.92,30.18
50.67,27.13
36.4,40.51
7.42,70.74
49.24,31.87
70.91,16.4
65.37,19.65
85.56,0
16.96,48.04
24.82,50.85
40.77,42.38
80.4,11.15
85.63,17.98
90.84,1.58
11.21,62.12
39.17,36.89
67.72,28.78
77.16,6.81
64.1,23.7
80.83,11.57
1.8,65.99
50.08,50.08
11.32,54.52
77.91,13.98
13.76,64.44
64.83,21.05
51.16,35.8
72.25,21.35
49.57,34.78
86.18,14.44
5.83,47.04
26.98,45.98
46.68,38.18
1.77,52.63
89.67,4.15
64.45,26.67
2.57,55.61
78.21,22.83
55.98,26.75
73.44,28.28
15.31,62.42
0.76,70.7
79.7,16.19
71.76,20.84
59.88,36.61
12.92,52.78
70.17,15.07
33.13,51.33
35.31,35.29
51.72,41.66
59.39,42.01
73.89,11.64
49.39,31.82
81.46,11.65
76.6,10.25
59.57,24.44
65.09,20.88
52.09,24.29
23.84,57.48
72.35,27.09
