training_hours_inverted,productivity_inverted
71.5,44.39
54.8,11.49
47.88,33.81
25.06,15.54
69.23,34.97
5.02,60.14
67.31,14.13
17.14,9.41
13.42,45.62
38.42,32.67
48.18,47.97
7.36,25.94
75.59,37.95
64.11,7.87
85.23,45.26
70.68,10.04
9.14,27.61
53.75,32.63
71.43,48.98
52.29,81.07
42.6,55.99
9.81,26.23
84.8,61.03
5.87,26.2
41.57,12.3
16.48,40.37
47.57,24.55
27.07,33.23
80.79,41.92
12.96,36.42
22.02,41.51
13.73,29.52
99.44,26.31
8.04,27.33
44.57,65.5
83.02,28.97
37.51,44.73
27.48,8.3
64.57,72.6
27.74,34.32
7.9,31.54
