study_hours_inverted,score_inverted
42.87,24.27
18.2,2.49
86.11,60.78
12.17,8.3
66.46,53.77
34.17,27.27
55.87,56.02
34.39,22.47
0.95,4.83
72.05,57.97
97.25,77.62
17.7,11.85
81.66,60.69
63.57,23.8
83.35,61.54
28.79,15.85
50.75,35.86
42.25,32.22
85.92,72.35
85.21,72.71
8.8,0.42
69.95,39.25
95.24,67.31
56.33,51.12
11.75,1.06
56.42,28.99
70.88,41.6
95.94,63.89
77.35,53.39
82.85,53.96
97.26,68.3
56.24,37.38
47.02,15.7
82.46,51.72
15.56,24.18
24.42,18.83
37.25,31.08
96.7,63.81
90.17,60.89
8.05,8.63
7.47,2.95
60.16,39.52
7.09,4.23
78.16,45.4
90.32,56.63
78.73,54.63
18.55,6.64
20.69,15.66
33.9,24.41
31.48,27.04
58.08,46.2
36.64,33.9
34.73,28.35
