ad_spend_inverted,sales_inverted
5.43,30.49
7.98,37.36
67.24,38.87
32.87,7.73
10.02,24.79
87.96,60.42
94.63,32.83
40.18,2.43
72.04,14.31
23.66,49.2
52.39,4.25
86.88,44.87
87.71,45.88
39.9,29.24
38.44,38.91
57.78,24.14
78.25,44.38
49.21,32.83
47.68,34.3
45.49,43.32
41.0,34.24
53.77,39.21
37.47,20.97
24.3,12.65
61.27,7.26
22.51,43.27
41.36,16.28
44.17,40.38
17.55,36.25
79.67,35.69
59.7,52.73
15.03,46.5
47.54,44.61
41.29,42.68
6.49,48.9
86.39,24.05
23.9,48.15
4.27,18.14
94.83,40.51
89.58,49.02
56.5,4.15
8.29,34.19
10.87,17.86
28.83,37.42
2.68,17.18
61.33,78.57
78.58,34.98
74.05,24.94
37.04,55.17
21.37,37.63
61.62,45.81
72.62,37.82
93.13,3.14
79.7,29.67
17.69,23.13
60.04,52.45
47.21,25.49
23.78,34.82
79.31,59.86
7.88,76.23
41.34,45.47
22.05,51.85
95.14,66.05
74.57,15.34
70.56,15.2
62.11,64.13
44.44,0.42
10.38,19.94
77.84,16.19
49.49,33.73
46.24,8.21
59.55,40.63
51.04,19.09
68.1,27.58
56.4,25.27
44.56,43.66
24.59,44.4
60.86,34.88
