experience,salary,level
7.8,41343,Entry Level
4.8,45651,Entry Level
4.2,33810,Entry Level
6.4,34921,Entry Level
3.7,43615,Entry Level
7.7,47131,Entry Level
4.2,41181,Entry Level
5.7,39009,Entry Level
2.4,35749,Entry Level
6.6,40156,Entry Level
6.4,35002,Entry Level
3.0,47125,Entry Level
11.1,53004,Mid Level
9.4,49950,Mid Level
2.1,56294,Mid Level
8.9,42149,Mid Level
5.4,52298,Mid Level
7.0,54956,Mid Level
6.8,58199,Mid Level
3.6,51905,Mid Level
4.9,46102,Mid Level
6.7,52462,Mid Level
14.1,68613,Senior Level
19.9,68791,Senior Level
15.7,59885,Senior Level
9.4,56457,Senior Level
10.8,59344,Senior Level
6.6,63372,Senior Level
12.8,65743,Senior Level
10.6,61280,Senior Level
11.8,63572,Senior Level
8.3,51059,Senior Level
19.3,54998,Senior Level
16.1,66781,Executive Level
11.7,81397,Executive Level
18.5,68897,Executive Level
21.0,73980,Executive Level
20.1,80935,Executive Level
23.7,65435,Executive Level
8.6,80635,Executive Level
23.7,60002,Executive Level
8.5,71335,Executive Level
22.0,59416,Executive Level
24.1,64220,Executive Level
