experience,salary,level
6.2,39889,Entry Level
0.3,41676,Entry Level
7.6,35576,Entry Level
1.5,42454,Entry Level
3.8,38433,Entry Level
7.4,39615,Entry Level
6.7,36320,Entry Level
1.7,41100,Entry Level
7.2,46403,Entry Level
7.8,44901,Entry Level
0.9,47506,Entry Level
3.6,45515,Entry Level
3.6,32577,Entry Level
7.3,35684,Entry Level
9.2,49673,Mid Level
8.8,58101,Mid Level
6.2,52891,Mid Level
4.4,56695,Mid Level
7.9,42622,Mid Level
5.0,52600,Mid Level
5.2,45191,Mid Level
6.4,47318,Mid Level
8.8,46297,Mid Level
7.7,52760,Mid Level
3.4,56319,Mid Level
7.8,44978,Mid Level
3.1,47503,Mid Level
7.5,41670,Mid Level
10.7,46554,Mid Level
11.8,69887,Senior Level
10.6,52895,Senior Level
14.1,69160,Senior Level
7.1,62091,Senior Level
5.2,64370,Senior Level
17.9,51388,Senior Level
19.0,63658,Senior Level
8.6,54599,Senior Level
18.1,58928,Senior Level
7.4,53366,Senior Level
7.4,52086,Senior Level
7.5,65307,Senior Level
20.4,78334,Executive Level
23.8,76760,Executive Level
23.5,77826,Executive Level
20.6,64080,Executive Level
8.9,77696,Executive Level
19.9,69740,Executive Level
10.3,63432,Executive Level
15.6,71760,Executive Level
15.6,76220,Executive Level
17.0,75487,Executive Level
8.9,63622,Executive Level
21.9,60714,Executive Level
18.4,73428,Executive Level
14.5,65922,Executive Level
