experience,salary,level
7.6,44970,Entry Level
0.2,35161,Entry Level
5.2,38687,Entry Level
3.8,41764,Entry Level
6.0,37279,Entry Level
5.7,41610,Entry Level
4.2,41465,Entry Level
6.0,35545,Entry Level
3.9,36379,Entry Level
0.3,43723,Entry Level
7.0,46015,Mid Level
6.8,53714,Mid Level
2.1,49584,Mid Level
6.1,56630,Mid Level
6.8,55501,Mid Level
10.7,49350,Mid Level
11.0,53411,Mid Level
11.5,44828,Mid Level
7.4,54166,Mid Level
4.7,48037,Mid Level
2.8,42000,Mid Level
4.4,41947,Mid Level
10.1,48318,Mid Level
8.1,54145,Mid Level
7.1,56317,Senior Level
15.2,64974,Senior Level
6.4,63750,Senior Level
5.1,57312,Senior Level
17.0,59323,Senior Level
15.6,62371,Senior Level
9.6,68945,Senior Level
8.5,51064,Senior Level
11.7,66132,Senior Level
10.4,50014,Senior Level
17.8,56279,Senior Level
6.5,61399,Senior Level
5.8,62989,Senior Level
15.0,65599,Executive Level
22.8,59527,Executive Level
15.6,77679,Executive Level
13.0,77048,Executive Level
8.6,81158,Executive Level
18.7,72333,Executive Level
10.0,75576,Executive Level
8.9,79129,Executive Level
24.5,64313,Executive Level
23.0,78311,Executive Level
17.0,80491,Executive Level
