experience,salary,level
7.7,46641,Entry Level
6.7,37712,Entry Level
7.4,45549,Entry Level
1.5,37168,Entry Level
0.4,39555,Entry Level
6.3,38341,Entry Level
3.9,32176,Entry Level
7.9,45652,Entry Level
5.9,42002,Entry Level
5.7,46316,Entry Level
7.0,44694,Mid Level
2.2,58933,Mid Level
7.8,55862,Mid Level
11.8,53898,Mid Level
11.9,44526,Mid Level
3.6,50094,Mid Level
6.9,48720,Mid Level
12.0,52574,Mid Level
5.3,44233,Mid Level
9.7,42414,Mid Level
5.1,53132,Mid Level
9.0,53417,Mid Level
4.0,57702,Mid Level
8.2,63475,Senior Level
16.3,67513,Senior Level
19.6,64565,Senior Level
16.4,60851,Senior Level
16.5,64837,Senior Level
17.6,57677,Senior Level
10.8,55474,Senior Level
8.8,56243,Senior Level
6.1,69554,Senior Level
12.2,69876,Senior Level
8.1,57215,Senior Level
9.3,70411,Executive Level
13.4,67881,Executive Level
14.6,81997,Executive Level
24.5,78160,Executive Level
17.4,65577,Executive Level
22.5,58243,Executive Level
15.6,62985,Executive Level
20.8,61344,Executive Level
24.5,74947,Executive Level
10.7,73281,Executive Level
17.0,74368,Executive Level
10.0,78747,Executive Level
24.9,79060,Executive Level
20.9,66990,Executive Level
9.7,78291,Executive Level
