experience,salary,level
0.0,36019,Entry Level
2.3,46996,Entry Level
3.2,37135,Entry Level
3.2,33130,Entry Level
6.4,42435,Entry Level
2.9,32694,Entry Level
5.1,47498,Entry Level
3.2,33617,Entry Level
7.8,39135,Entry Level
0.2,43556,Entry Level
7.1,34271,Entry Level
4.3,45906,Entry Level
0.2,44281,Entry Level
10.0,50737,Mid Level
3.8,41611,Mid Level
4.6,47215,Mid Level
5.2,41078,Mid Level
11.3,55156,Mid Level
11.0,46088,Mid Level
9.5,51514,Mid Level
9.8,45131,Mid Level
11.9,51478,Mid Level
10.3,41417,Mid Level
10.4,53814,Senior Level
11.5,65359,Senior Level
8.7,53555,Senior Level
12.7,67145,Senior Level
9.8,67692,Senior Level
8.9,56800,Senior Level
9.2,59960,Senior Level
19.0,50219,Senior Level
11.4,63860,Senior Level
12.0,54923,Senior Level
5.7,64291,Senior Level
19.2,65601,Senior Level
12.2,52080,Senior Level
11.9,75234,Executive Level
10.5,62628,Executive Level
10.8,69851,Executive Level
14.8,80327,Executive Level
20.0,69739,Executive Level
20.8,69897,Executive Level
24.6,81636,Executive Level
16.9,76963,Executive Level
25.0,80280,Executive Level
10.0,60680,Executive Level
10.9,59187,Executive Level
