experience,salary,level
0.0,32315,Entry Level
1.4,44520,Entry Level
6.8,45207,Entry Level
1.0,42306,Entry Level
3.9,43671,Entry Level
2.6,37918,Entry Level
3.6,44783,Entry Level
4.7,34342,Entry Level
6.7,44791,Entry Level
7.9,39051,Entry Level
7.1,39077,Entry Level
6.0,32718,Entry Level
3.0,39824,Entry Level
6.0,33449,Entry Level
7.3,45393,Entry Level
3.9,41237,Mid Level
11.3,47494,Mid Level
3.8,58931,Mid Level
11.7,45035,Mid Level
11.1,56496,Mid Level
6.1,53207,Mid Level
3.4,55157,Mid Level
4.6,45562,Mid Level
5.5,44878,Mid Level
9.5,53351,Mid Level
8.9,45541,Mid Level
6.2,46733,Mid Level
19.3,60981,Senior Level
12.7,63308,Senior Level
12.8,56159,Senior Level
17.0,62404,Senior Level
15.6,57720,Senior Level
6.7,59414,Senior Level
6.7,61615,Senior Level
11.9,57479,Senior Level
17.6,66835,Senior Level
9.2,66635,Senior Level
6.6,68331,Senior Level
17.3,52840,Senior Level
9.3,66613,Senior Level
9.9,80376,Executive Level
22.9,70049,Executive Level
8.5,74985,Executive Level
10.1,65321,Executive Level
20.8,70133,Executive Level
21.1,61493,Executive Level
8.1,73903,Executive Level
17.8,81148,Executive Level
19.5,74747,Executive Level
24.2,69405,Executive Level
11.2,64444,Executive Level
11.6,72122,Executive Level
8.1,66694,Executive Level
