experience,salary,level
0.5,35344,Entry Level
2.7,38643,Entry Level
1.9,41365,Entry Level
2.5,44832,Entry Level
0.5,41826,Entry Level
2.1,33860,Entry Level
7.8,43988,Entry Level
6.0,36264,Entry Level
6.3,32421,Entry Level
0.5,35544,Entry Level
3.3,46629,Entry Level
4.8,40855,Entry Level
11.2,46488,Mid Level
11.9,47908,Mid Level
12.0,45747,Mid Level
5.0,58730,Mid Level
2.0,56576,Mid Level
6.1,57689,Mid Level
11.1,56316,Mid Level
8.9,43153,Mid Level
4.0,58678,Mid Level
7.9,51008,Mid Level
11.5,53151,Mid Level
9.5,52388,Mid Level
8.9,53300,Mid Level
2.9,57371,Mid Level
12.7,54284,Senior Level
12.2,55749,Senior Level
7.7,57239,Senior Level
9.2,51361,Senior Level
16.5,53639,Senior Level
16.6,64853,Senior Level
16.2,52875,Senior Level
7.4,57788,Senior Level
11.4,57327,Senior Level
9.3,58945,Senior Level
12.1,65437,Senior Level
15.0,69118,Senior Level
10.3,54267,Senior Level
18.4,69130,Executive Level
11.9,81072,Executive Level
18.6,75968,Executive Level
22.8,79416,Executive Level
8.9,65860,Executive Level
24.5,68855,Executive Level
23.3,75296,Executive Level
23.1,72936,Executive Level
8.0,73601,Executive Level
22.9,76646,Executive Level
