experience,salary,level
4.3,45729,Entry Level
0.1,35049,Entry Level
2.0,43434,Entry Level
5.6,41796,Entry Level
2.4,45870,Entry Level
2.8,32097,Entry Level
2.3,46182,Entry Level
7.3,44428,Entry Level
6.5,46214,Entry Level
7.5,41928,Entry Level
2.7,41134,Entry Level
0.1,47659,Entry Level
0.9,35248,Entry Level
7.5,46190,Mid Level
4.9,46904,Mid Level
6.6,50712,Mid Level
3.0,41285,Mid Level
9.6,45241,Mid Level
6.2,42790,Mid Level
9.8,55598,Mid Level
5.0,44348,Mid Level
8.3,41474,Mid Level
6.9,50167,Mid Level
7.1,43894,Mid Level
8.7,49059,Mid Level
4.1,50271,Mid Level
8.6,58109,Mid Level
19.6,56815,Senior Level
9.9,55661,Senior Level
8.6,57079,Senior Level
18.9,65410,Senior Level
14.2,66279,Senior Level
17.1,67631,Senior Level
7.9,67779,Senior Level
14.4,69988,Senior Level
15.0,51996,Senior Level
6.8,53400,Senior Level
14.5,74533,Executive Level
14.5,75135,Executive Level
11.9,80523,Executive Level
9.7,73802,Executive Level
20.0,75394,Executive Level
16.5,59659,Executive Level
9.1,80881,Executive Level
10.8,78599,Executive Level
15.1,69863,Executive Level
24.7,73529,Executive Level
24.9,67835,Executive Level
19.8,61617,Executive Level
21.9,77203,Executive Level
20.5,58079,Executive Level
16.1,70397,Executive Level
