experience,salary,level
7.9,37431,Entry Level
3.4,43028,Entry Level
4.9,47551,Entry Level
1.6,44372,Entry Level
7.3,46746,Entry Level
0.4,40661,Entry Level
4.5,38478,Entry Level
1.6,42878,Entry Level
7.5,43026,Entry Level
2.5,46161,Entry Level
4.3,46151,Entry Level
5.6,37213,Entry Level
2.3,44941,Entry Level
5.9,45297,Entry Level
5.5,37719,Entry Level
11.6,50888,Mid Level
5.1,50318,Mid Level
4.1,50869,Mid Level
8.0,46124,Mid Level
7.5,55194,Mid Level
11.1,49031,Mid Level
10.8,47615,Mid Level
5.4,49496,Mid Level
3.8,54947,Mid Level
3.1,41485,Mid Level
10.5,58034,Mid Level
4.6,57648,Mid Level
6.3,55530,Senior Level
9.3,69529,Senior Level
5.6,54952,Senior Level
14.8,69513,Senior Level
8.6,52621,Senior Level
14.2,68065,Senior Level
6.7,59653,Senior Level
18.9,51694,Senior Level
9.1,54607,Senior Level
6.2,56762,Senior Level
16.1,51367,Senior Level
11.4,59660,Executive Level
9.3,76738,Executive Level
10.1,80578,Executive Level
10.1,65137,Executive Level
10.7,65519,Executive Level
9.1,65433,Executive Level
13.6,71613,Executive Level
11.3,77408,Executive Level
13.4,67499,Executive Level
17.0,79091,Executive Level
