experience,salary,level
1.1,44299,Entry Level
4.5,46932,Entry Level
5.2,40153,Entry Level
5.2,38743,Entry Level
0.9,41506,Entry Level
5.9,33487,Entry Level
3.2,40232,Entry Level
7.1,46079,Entry Level
1.8,47152,Entry Level
5.6,43270,Entry Level
7.0,53769,Mid Level
5.3,47104,Mid Level
8.2,43331,Mid Level
10.3,47585,Mid Level
8.5,57222,Mid Level
9.5,42908,Mid Level
10.7,58514,Mid Level
10.7,42602,Mid Level
8.4,44910,Mid Level
10.3,53711,Mid Level
15.5,59060,Senior Level
14.0,67576,Senior Level
14.1,63977,Senior Level
17.1,63574,Senior Level
19.8,65301,Senior Level
16.2,53547,Senior Level
6.2,53227,Senior Level
16.2,58893,Senior Level
18.1,67878,Senior Level
10.7,67000,Senior Level
5.8,69673,Senior Level
8.2,61723,Senior Level
24.0,71695,Executive Level
21.4,76619,Executive Level
14.8,58289,Executive Level
16.9,70711,Executive Level
15.2,76927,Executive Level
24.7,76118,Executive Level
17.2,70118,Executive Level
14.7,76648,Executive Level
23.2,73702,Executive Level
19.8,68636,Executive Level
19.9,63719,Executive Level
