experience,salary,level
2.6,41967,Entry Level
3.4,34022,Entry Level
4.1,45981,Entry Level
2.7,37915,Entry Level
0.4,35295,Entry Level
2.0,32625,Entry Level
7.4,38320,Entry Level
2.8,44047,Entry Level
2.1,42590,Entry Level
1.7,47744,Entry Level
3.6,44938,Entry Level
6.9,45118,Entry Level
2.6,39571,Entry Level
0.7,42007,Entry Level
7.4,57693,Mid Level
3.8,50505,Mid Level
10.8,51288,Mid Level
10.2,51066,Mid Level
9.8,53463,Mid Level
9.0,52450,Mid Level
9.2,51078,Mid Level
6.0,54126,Mid Level
2.4,44509,Mid Level
3.1,50594,Mid Level
11.1,64380,Senior Level
19.3,59952,Senior Level
15.9,64929,Senior Level
19.6,66232,Senior Level
5.7,50862,Senior Level
6.0,67774,Senior Level
9.8,60738,Senior Level
15.7,67404,Senior Level
18.3,53499,Senior Level
19.5,68187,Senior Level
6.2,52740,Senior Level
8.6,67289,Senior Level
14.8,66602,Senior Level
22.1,76985,Executive Level
19.2,67775,Executive Level
20.2,81260,Executive Level
21.1,62050,Executive Level
19.2,65299,Executive Level
21.1,63775,Executive Level
18.8,70077,Executive Level
9.6,64971,Executive Level
11.0,60024,Executive Level
22.7,74272,Executive Level
24.9,81560,Executive Level
23.4,75549,Executive Level
