experience,salary,level
6.4,37881,Entry Level
8.0,38991,Entry Level
6.0,47165,Entry Level
1.8,44521,Entry Level
6.2,33155,Entry Level
4.7,32523,Entry Level
3.9,35056,Entry Level
5.3,41431,Entry Level
5.0,47976,Entry Level
5.6,47030,Entry Level
0.4,41933,Entry Level
0.5,38091,Entry Level
1.6,35258,Entry Level
3.1,45086,Entry Level
7.4,52721,Mid Level
11.2,48503,Mid Level
3.7,47521,Mid Level
4.0,52599,Mid Level
5.6,45963,Mid Level
3.8,53644,Mid Level
9.4,55344,Mid Level
6.0,47971,Mid Level
11.9,44339,Mid Level
4.2,47879,Mid Level
3.9,45938,Mid Level
7.8,49010,Mid Level
6.3,51888,Mid Level
8.4,60921,Senior Level
8.1,56234,Senior Level
13.7,54061,Senior Level
13.3,60280,Senior Level
14.3,66395,Senior Level
7.8,58407,Senior Level
14.4,68756,Senior Level
9.5,56130,Senior Level
9.8,52919,Senior Level
8.2,59087,Senior Level
9.5,61409,Senior Level
11.9,64632,Senior Level
11.4,63119,Senior Level
8.3,66310,Senior Level
20.7,71169,Executive Level
22.4,68125,Executive Level
11.7,62836,Executive Level
14.7,59573,Executive Level
11.6,64023,Executive Level
10.4,59875,Executive Level
16.0,68601,Executive Level
21.1,68682,Executive Level
11.4,58158,Executive Level
13.0,70137,Executive Level
11.7,74472,Executive Level
11.6,76330,Executive Level
13.0,58184,Executive Level
18.2,70234,Executive Level
