experience,salary,level
5.4,32835,Entry Level
3.7,40038,Entry Level
7.6,47207,Entry Level
2.1,40526,Entry Level
3.2,36135,Entry Level
3.3,33242,Entry Level
4.5,35552,Entry Level
3.8,33156,Entry Level
0.9,44173,Entry Level
1.9,47036,Entry Level
5.1,35399,Entry Level
2.1,50651,Mid Level
3.1,58910,Mid Level
5.2,53894,Mid Level
2.7,54511,Mid Level
3.1,50607,Mid Level
9.9,50292,Mid Level
11.2,42664,Mid Level
10.1,56327,Mid Level
7.5,50424,Mid Level
4.2,43842,Mid Level
3.6,41132,Mid Level
8.9,61072,Senior Level
6.4,69547,Senior Level
6.7,58081,Senior Level
6.9,59834,Senior Level
15.3,54300,Senior Level
19.8,50216,Senior Level
8.6,56745,Senior Level
9.0,57050,Senior Level
10.3,67083,Senior Level
11.3,69695,Senior Level
10.3,57431,Senior Level
11.0,59491,Executive Level
9.5,81141,Executive Level
19.8,60431,Executive Level
25.0,73262,Executive Level
16.5,66838,Executive Level
21.7,65363,Executive Level
16.6,71807,Executive Level
8.4,76077,Executive Level
24.0,81744,Executive Level
21.0,72823,Executive Level
17.4,80767,Executive Level
18.9,58742,Executive Level
