experience,salary,level
5.0,35972,Entry Level
4.8,35803,Entry Level
0.7,44583,Entry Level
2.9,40126,Entry Level
5.0,34725,Entry Level
3.7,37130,Entry Level
3.6,45605,Entry Level
7.4,47054,Entry Level
4.9,47128,Entry Level
4.6,33073,Entry Level
0.8,47472,Entry Level
4.8,40698,Entry Level
0.4,45827,Entry Level
1.0,47584,Entry Level
4.2,47084,Entry Level
10.2,42987,Mid Level
5.5,52762,Mid Level
6.7,43942,Mid Level
3.3,42772,Mid Level
2.4,53814,Mid Level
6.5,53846,Mid Level
10.3,50015,Mid Level
11.2,44536,Mid Level
10.5,52295,Mid Level
10.7,55811,Mid Level
17.4,52738,Senior Level
9.5,60286,Senior Level
7.1,66798,Senior Level
12.7,68475,Senior Level
14.1,59965,Senior Level
18.8,63888,Senior Level
15.6,51124,Senior Level
5.7,54656,Senior Level
18.4,51606,Senior Level
17.0,69264,Senior Level
18.3,58997,Senior Level
11.0,50524,Senior Level
17.8,69896,Executive Level
14.5,64098,Executive Level
9.0,79872,Executive Level
16.3,70970,Executive Level
12.9,64948,Executive Level
13.7,58651,Executive Level
17.2,65040,Executive Level
14.1,61856,Executive Level
16.8,77745,Executive Level
19.0,68515,Executive Level
20.0,69390,Executive Level
15.2,78110,Executive Level
12.8,67635,Executive Level
