experience,salary,level
4.9,42794,Entry Level
3.4,46845,Entry Level
5.4,42975,Entry Level
4.0,36249,Entry Level
7.1,38335,Entry Level
6.7,40604,Entry Level
2.6,43637,Entry Level
2.8,36389,Entry Level
5.3,39279,Entry Level
6.7,33115,Entry Level
5.4,41205,Mid Level
2.5,43207,Mid Level
6.3,47402,Mid Level
8.2,47395,Mid Level
8.9,47384,Mid Level
5.4,48310,Mid Level
11.7,49715,Mid Level
11.6,57739,Mid Level
8.1,49418,Mid Level
10.6,44259,Mid Level
4.0,43504,Mid Level
5.7,67151,Senior Level
5.9,63762,Senior Level
19.3,68861,Senior Level
6.0,51224,Senior Level
14.9,57533,Senior Level
16.7,55678,Senior Level
12.9,63429,Senior Level
18.4,67985,Senior Level
10.7,69961,Senior Level
13.8,55481,Senior Level
20.2,61487,Executive Level
17.3,64664,Executive Level
12.5,62283,Executive Level
11.8,58457,Executive Level
8.1,70009,Executive Level
13.7,77865,Executive Level
11.3,79022,Executive Level
9.4,79094,Executive Level
22.1,60362,Executive Level
17.2,80398,Executive Level
11.9,75114,Executive Level
12.8,67481,Executive Level
9.8,69415,Executive Level
20.1,73105,Executive Level
19.4,78860,Executive Level
