experience,salary,level
3.0,40503,Entry Level
3.9,40323,Entry Level
3.8,45541,Entry Level
5.6,40256,Entry Level
3.1,45057,Entry Level
0.0,40344,Entry Level
5.6,33756,Entry Level
6.0,37021,Entry Level
5.1,36764,Entry Level
5.4,47586,Entry Level
7.7,44299,Entry Level
7.4,49780,Mid Level
5.5,43724,Mid Level
4.6,44299,Mid Level
8.7,42143,Mid Level
3.6,55521,Mid Level
8.2,42220,Mid Level
8.3,48600,Mid Level
10.8,46575,Mid Level
6.5,52363,Mid Level
8.9,57024,Mid Level
5.7,52815,Mid Level
5.2,57627,Mid Level
9.9,56908,Senior Level
16.9,52880,Senior Level
7.6,67424,Senior Level
13.5,61355,Senior Level
12.2,69486,Senior Level
14.3,66430,Senior Level
6.7,55113,Senior Level
18.4,68164,Senior Level
15.4,69560,Senior Level
9.9,55852,Senior Level
13.9,67820,Senior Level
12.5,60021,Senior Level
15.2,59119,Senior Level
10.2,75260,Executive Level
24.4,81814,Executive Level
15.6,64612,Executive Level
15.6,74557,Executive Level
14.8,75452,Executive Level
21.2,58408,Executive Level
21.8,76691,Executive Level
24.5,81407,Executive Level
17.0,81336,Executive Level
24.5,64931,Executive Level
24.4,71057,Executive Level
24.1,65898,Executive Level
