experience,salary,level
5.1,36375,Entry Level
1.6,35181,Entry Level
1.7,32010,Entry Level
6.1,35346,Entry Level
0.7,46807,Entry Level
2.2,39157,Entry Level
0.7,34732,Entry Level
1.8,42193,Entry Level
3.3,34862,Entry Level
4.8,44385,Entry Level
8.6,45264,Mid Level
10.1,46434,Mid Level
11.7,41763,Mid Level
5.2,47299,Mid Level
7.6,58494,Mid Level
4.1,52610,Mid Level
3.7,53533,Mid Level
10.2,54611,Mid Level
9.4,54207,Mid Level
5.9,49525,Mid Level
2.7,54808,Mid Level
4.3,50335,Mid Level
7.3,61746,Senior Level
14.7,51405,Senior Level
13.3,68952,Senior Level
13.0,61165,Senior Level
15.7,50414,Senior Level
6.4,63267,Senior Level
12.1,67077,Senior Level
19.7,60236,Senior Level
16.5,54753,Senior Level
15.8,58568,Senior Level
16.0,51949,Senior Level
14.4,55256,Senior Level
6.9,50097,Senior Level
15.4,55957,Senior Level
19.9,77729,Executive Level
11.6,62429,Executive Level
14.1,66618,Executive Level
13.9,62293,Executive Level
23.2,72094,Executive Level
13.0,66554,Executive Level
16.6,67695,Executive Level
12.5,58696,Executive Level
10.8,76242,Executive Level
20.9,69345,Executive Level
10.6,80009,Executive Level
19.5,69107,Executive Level
