experience,salary,level
0.2,34261,Entry Level
4.1,46006,Entry Level
2.7,39690,Entry Level
1.0,45538,Entry Level
2.2,35682,Entry Level
7.0,32723,Entry Level
7.9,34573,Entry Level
1.9,47759,Entry Level
3.0,34239,Entry Level
2.6,40065,Entry Level
5.0,40771,Entry Level
1.9,38592,Entry Level
2.8,38436,Entry Level
3.0,37104,Entry Level
5.2,43316,Entry Level
4.6,46881,Mid Level
2.4,43615,Mid Level
6.8,53817,Mid Level
6.2,42163,Mid Level
6.0,56030,Mid Level
10.8,49106,Mid Level
6.0,44076,Mid Level
9.0,54766,Mid Level
5.3,57558,Mid Level
5.1,54494,Mid Level
9.9,63891,Senior Level
18.3,69975,Senior Level
8.8,64123,Senior Level
17.7,56799,Senior Level
10.3,50503,Senior Level
11.0,69981,Senior Level
12.3,57431,Senior Level
19.5,54126,Senior Level
10.9,52636,Senior Level
13.8,65869,Senior Level
19.6,66934,Senior Level
20.6,63550,Executive Level
18.0,64765,Executive Level
13.0,69908,Executive Level
24.1,73806,Executive Level
8.3,62678,Executive Level
14.5,69417,Executive Level
17.5,69119,Executive Level
16.0,60726,Executive Level
16.2,62358,Executive Level
11.1,62300,Executive Level
9.2,65220,Executive Level
9.3,69866,Executive Level
16.9,60353,Executive Level
14.3,72715,Executive Level
16.0,65099,Executive Level
