experience,salary,level
6.4,41467,Entry Level
2.3,36518,Entry Level
6.7,39999,Entry Level
4.6,32437,Entry Level
3.7,34553,Entry Level
5.5,40795,Entry Level
2.8,34051,Entry Level
4.3,41530,Entry Level
6.9,45363,Entry Level
2.5,33662,Entry Level
5.9,41247,Entry Level
7.3,41811,Mid Level
8.0,53475,Mid Level
2.6,44625,Mid Level
11.9,51572,Mid Level
4.0,58484,Mid Level
10.4,41929,Mid Level
6.6,47765,Mid Level
3.6,48237,Mid Level
6.0,56982,Mid Level
3.7,44380,Mid Level
20.0,52979,Senior Level
13.8,50591,Senior Level
15.3,55133,Senior Level
20.0,66172,Senior Level
5.1,61482,Senior Level
14.8,58800,Senior Level
6.9,64028,Senior Level
17.5,56990,Senior Level
16.0,59753,Senior Level
7.6,56901,Senior Level
5.2,68723,Senior Level
17.8,69597,Senior Level
9.5,52994,Senior Level
19.3,53509,Senior Level
12.7,63775,Senior Level
16.6,73796,Executive Level
22.0,59323,Executive Level
20.6,69782,Executive Level
9.0,65702,Executive Level
19.4,58346,Executive Level
17.8,58937,Executive Level
22.8,73051,Executive Level
14.9,69919,Executive Level
20.9,70399,Executive Level
8.5,60462,Executive Level
