experience,salary,level
0.6,42078,Entry Level
2.9,45697,Entry Level
0.3,40075,Entry Level
6.6,38427,Entry Level
3.2,32423,Entry Level
0.2,41259,Entry Level
2.2,44577,Entry Level
8.0,34188,Entry Level
3.2,40264,Entry Level
4.9,39070,Entry Level
0.5,33804,Entry Level
7.2,34112,Entry Level
8.0,49716,Mid Level
4.7,43404,Mid Level
10.2,53009,Mid Level
3.5,55908,Mid Level
2.1,48351,Mid Level
8.2,42194,Mid Level
8.8,41482,Mid Level
7.7,44844,Mid Level
9.0,46483,Mid Level
8.6,52006,Mid Level
14.7,68454,Senior Level
6.5,65075,Senior Level
10.2,64274,Senior Level
10.8,69687,Senior Level
13.5,56161,Senior Level
11.7,50106,Senior Level
12.5,58040,Senior Level
18.7,55561,Senior Level
15.1,65299,Senior Level
16.4,67539,Senior Level
15.7,66955,Senior Level
15.6,55857,Senior Level
15.5,65139,Senior Level
10.2,57377,Senior Level
18.9,59685,Senior Level
10.4,80502,Executive Level
17.2,71657,Executive Level
15.4,62696,Executive Level
20.7,75752,Executive Level
20.8,72672,Executive Level
17.0,67318,Executive Level
11.5,62257,Executive Level
17.4,70661,Executive Level
14.4,69136,Executive Level
19.7,77261,Executive Level
22.8,66234,Executive Level
19.9,68851,Executive Level
21.2,71579,Executive Level
11.7,65965,Executive Level
20.5,73960,Executive Level
