experience,salary,level
0.4,44760,Entry Level
0.1,45557,Entry Level
0.2,35907,Entry Level
1.8,43551,Entry Level
6.3,32031,Entry Level
5.2,38612,Entry Level
5.5,42936,Entry Level
2.2,40639,Entry Level
2.9,37052,Entry Level
3.9,38422,Entry Level
7.0,33644,Entry Level
7.9,43391,Entry Level
7.8,38962,Entry Level
6.6,47774,Mid Level
5.9,43683,Mid Level
6.6,45724,Mid Level
3.5,47527,Mid Level
11.0,54202,Mid Level
9.6,53006,Mid Level
7.9,49431,Mid Level
10.0,51196,Mid Level
6.7,54997,Mid Level
4.5,51977,Mid Level
7.0,51228,Mid Level
7.6,53393,Mid Level
2.9,42130,Mid Level
9.6,46539,Mid Level
6.9,69641,Senior Level
18.3,58675,Senior Level
6.6,67385,Senior Level
7.3,65020,Senior Level
5.8,56807,Senior Level
14.6,63752,Senior Level
8.2,54024,Senior Level
14.8,64731,Senior Level
19.9,61293,Senior Level
17.2,60601,Senior Level
10.5,57517,Senior Level
19.0,62523,Senior Level
23.4,74159,Executive Level
21.6,74963,Executive Level
22.7,63136,Executive Level
22.1,74596,Executive Level
23.8,72513,Executive Level
16.3,80610,Executive Level
21.7,79386,Executive Level
20.0,61579,Executive Level
16.7,71512,Executive Level
21.2,68102,Executive Level
9.7,65555,Executive Level
18.8,81865,Executive Level
13.1,78964,Executive Level
21.6,78420,Executive Level
