experience,salary,level
6.0,42004,Entry Level
5.2,42689,Entry Level
4.3,34180,Entry Level
2.3,43371,Entry Level
0.7,35262,Entry Level
2.0,37613,Entry Level
6.4,38816,Entry Level
5.3,47069,Entry Level
0.6,39620,Entry Level
3.8,34764,Entry Level
0.6,32734,Entry Level
3.6,40876,Entry Level
9.5,53534,Mid Level
4.6,54834,Mid Level
5.7,42778,Mid Level
6.2,48369,Mid Level
6.5,57681,Mid Level
4.1,53966,Mid Level
11.0,44285,Mid Level
9.3,55636,Mid Level
8.5,43353,Mid Level
4.4,48867,Mid Level
5.7,54464,Mid Level
4.7,57309,Mid Level
8.4,57098,Mid Level
2.9,57547,Mid Level
7.3,48703,Mid Level
14.9,67699,Senior Level
7.1,59324,Senior Level
16.3,51076,Senior Level
7.9,52586,Senior Level
18.8,51628,Senior Level
8.6,50824,Senior Level
6.2,54491,Senior Level
19.0,50665,Senior Level
9.9,60281,Senior Level
10.4,55399,Senior Level
13.6,64340,Senior Level
12.1,60012,Senior Level
13.9,71987,Executive Level
22.8,64082,Executive Level
16.0,67798,Executive Level
18.1,70151,Executive Level
20.3,67428,Executive Level
8.3,69583,Executive Level
17.5,65398,Executive Level
10.2,61236,Executive Level
19.3,79865,Executive Level
24.7,68502,Executive Level
24.8,79717,Executive Level
14.8,72111,Executive Level
14.2,65919,Executive Level
10.8,76870,Executive Level
9.4,67267,Executive Level
