experience,salary,level
4.7,37612,Entry Level
3.5,40991,Entry Level
4.2,44416,Entry Level
6.0,38076,Entry Level
1.1,42380,Entry Level
6.4,42050,Entry Level
2.1,40609,Entry Level
4.3,41600,Entry Level
7.5,34749,Entry Level
5.1,47571,Entry Level
4.7,35320,Entry Level
8.8,52206,Mid Level
9.2,52121,Mid Level
7.7,52297,Mid Level
7.7,55133,Mid Level
10.2,43672,Mid Level
11.5,58145,Mid Level
10.8,54712,Mid Level
5.1,51184,Mid Level
8.4,42764,Mid Level
9.5,47643,Mid Level
4.6,41459,Mid Level
9.0,47136,Mid Level
10.6,48718,Mid Level
11.2,52403,Mid Level
11.2,51252,Mid Level
9.4,52686,Senior Level
19.7,60539,Senior Level
12.2,66367,Senior Level
10.8,61134,Senior Level
15.6,57918,Senior Level
13.8,58168,Senior Level
11.1,63086,Senior Level
11.5,52871,Senior Level
6.2,53942,Senior Level
5.7,59962,Senior Level
8.2,66438,Senior Level
6.3,67538,Senior Level
15.7,61481,Senior Level
18.5,60564,Senior Level
17.6,72595,Executive Level
13.9,67976,Executive Level
8.8,63123,Executive Level
23.1,72742,Executive Level
16.9,79291,Executive Level
10.3,78355,Executive Level
21.2,67448,Executive Level
14.0,78327,Executive Level
10.4,79840,Executive Level
11.5,77610,Executive Level
12.0,59855,Executive Level
