experience,salary,level
6.1,41374,Entry Level
4.1,36404,Entry Level
3.2,46771,Entry Level
5.3,37594,Entry Level
3.3,36459,Entry Level
3.0,40206,Entry Level
0.5,39960,Entry Level
0.2,43083,Entry Level
5.0,39044,Entry Level
1.4,39837,Entry Level
4.2,40902,Entry Level
0.7,40738,Entry Level
5.1,37098,Entry Level
8.6,41404,Mid Level
4.0,43154,Mid Level
9.2,45434,Mid Level
11.6,44935,Mid Level
7.9,43087,Mid Level
3.2,57422,Mid Level
10.3,44009,Mid Level
2.4,57604,Mid Level
8.1,41367,Mid Level
4.0,47736,Mid Level
4.8,47618,Mid Level
13.8,67273,Senior Level
7.9,66478,Senior Level
18.7,63081,Senior Level
11.7,52192,Senior Level
18.9,65172,Senior Level
14.9,56445,Senior Level
17.6,60944,Senior Level
6.0,54898,Senior Level
7.6,58074,Senior Level
6.5,66823,Senior Level
12.2,62037,Senior Level
15.3,57497,Senior Level
7.5,66963,Senior Level
11.4,64603,Senior Level
8.5,81418,Executive Level
22.8,67357,Executive Level
13.1,63495,Executive Level
8.7,71466,Executive Level
14.3,80483,Executive Level
11.0,63793,Executive Level
17.6,74923,Executive Level
13.2,80388,Executive Level
23.3,75467,Executive Level
16.6,76284,Executive Level
22.8,79607,Executive Level
19.3,72433,Executive Level
