experience,salary,level
5.0,44184,Entry Level
4.3,41596,Entry Level
5.1,44044,Entry Level
7.1,41275,Entry Level
3.3,36889,Entry Level
7.1,36351,Entry Level
0.3,39891,Entry Level
2.8,37116,Entry Level
3.2,32042,Entry Level
0.0,36899,Entry Level
2.5,47997,Entry Level
4.4,46109,Entry Level
2.2,43918,Entry Level
7.9,45941,Entry Level
3.9,49195,Mid Level
4.7,45935,Mid Level
6.4,43821,Mid Level
7.3,46636,Mid Level
3.3,53583,Mid Level
6.8,57510,Mid Level
6.7,42088,Mid Level
11.1,41027,Mid Level
5.0,51475,Mid Level
10.8,49794,Mid Level
4.6,52686,Mid Level
6.3,58826,Mid Level
11.6,54849,Senior Level
15.5,64258,Senior Level
8.5,56899,Senior Level
19.4,52743,Senior Level
14.5,59468,Senior Level
9.1,61774,Senior Level
17.7,62845,Senior Level
17.6,57323,Senior Level
6.2,64625,Senior Level
15.7,55667,Senior Level
21.1,78364,Executive Level
8.0,59793,Executive Level
15.0,79329,Executive Level
16.5,61336,Executive Level
10.9,73549,Executive Level
18.9,73400,Executive Level
11.2,59086,Executive Level
23.9,74683,Executive Level
19.1,60988,Executive Level
14.1,66640,Executive Level
16.9,66467,Executive Level
13.1,78739,Executive Level
13.1,69876,Executive Level
