experience,salary,level
0.1,44160,Entry Level
2.0,35335,Entry Level
6.6,37266,Entry Level
1.3,46958,Entry Level
7.8,34065,Entry Level
5.8,39461,Entry Level
2.3,45917,Entry Level
3.4,33504,Entry Level
1.7,39261,Entry Level
0.1,41873,Entry Level
4.7,43306,Entry Level
4.9,46088,Entry Level
3.4,43620,Entry Level
6.7,44747,Entry Level
3.5,52693,Mid Level
11.9,56326,Mid Level
8.6,43872,Mid Level
10.8,57686,Mid Level
11.9,57777,Mid Level
8.9,49075,Mid Level
5.7,42074,Mid Level
3.7,49622,Mid Level
5.3,48209,Mid Level
11.5,51986,Mid Level
15.1,60688,Senior Level
18.8,63684,Senior Level
14.4,68669,Senior Level
18.1,59872,Senior Level
19.9,51357,Senior Level
18.0,67660,Senior Level
12.3,60834,Senior Level
11.4,59968,Senior Level
7.6,52460,Senior Level
9.2,67534,Senior Level
19.0,50592,Senior Level
14.7,59813,Senior Level
7.0,52774,Senior Level
16.5,53925,Senior Level
16.1,64862,Senior Level
15.3,80980,Executive Level
21.0,73298,Executive Level
13.6,69223,Executive Level
21.8,63751,Executive Level
20.0,73673,Executive Level
24.9,59407,Executive Level
15.7,73719,Executive Level
16.0,79580,Executive Level
20.4,58232,Executive Level
16.3,61711,Executive Level
