experience,salary,level
1.9,32769,Entry Level
4.5,45615,Entry Level
1.0,39071,Entry Level
7.5,42289,Entry Level
6.1,36164,Entry Level
3.6,38715,Entry Level
2.2,44599,Entry Level
2.2,36576,Entry Level
5.0,37060,Entry Level
1.1,39199,Entry Level
1.4,44934,Entry Level
2.1,43145,Entry Level
5.3,32662,Entry Level
3.0,33337,Entry Level
5.3,57516,Mid Level
7.2,50835,Mid Level
4.9,58618,Mid Level
8.9,48098,Mid Level
2.2,46969,Mid Level
2.6,55289,Mid Level
3.6,54902,Mid Level
11.4,49820,Mid Level
5.6,51914,Mid Level
3.3,47712,Mid Level
9.2,52153,Mid Level
3.2,47176,Mid Level
7.8,42920,Mid Level
2.5,43517,Mid Level
17.2,53908,Senior Level
15.8,50045,Senior Level
7.7,68903,Senior Level
9.5,51201,Senior Level
14.4,61154,Senior Level
11.1,61353,Senior Level
5.9,54472,Senior Level
11.8,67150,Senior Level
8.2,57994,Senior Level
6.9,66015,Senior Level
14.0,68426,Senior Level
8.9,54019,Senior Level
21.6,73335,Executive Level
22.0,61199,Executive Level
15.6,65703,Executive Level
25.0,58566,Executive Level
20.3,69602,Executive Level
11.7,61689,Executive Level
23.3,65301,Executive Level
22.4,81397,Executive Level
20.2,64696,Executive Level
14.2,58401,Executive Level
