experience,salary,level
1.8,38254,Entry Level
3.7,41717,Entry Level
3.7,35876,Entry Level
3.0,38991,Entry Level
1.2,41862,Entry Level
5.6,41434,Entry Level
2.3,40065,Entry Level
1.8,42478,Entry Level
8.0,40853,Entry Level
4.0,46297,Entry Level
0.6,35113,Entry Level
7.6,40248,Entry Level
4.6,37993,Entry Level
1.5,37819,Entry Level
2.4,43192,Entry Level
5.8,43692,Mid Level
8.4,58266,Mid Level
6.4,47329,Mid Level
4.7,52937,Mid Level
2.4,44465,Mid Level
2.7,44020,Mid Level
6.7,57731,Mid Level
2.4,45801,Mid Level
8.8,45294,Mid Level
8.0,54152,Mid Level
6.9,41383,Mid Level
6.4,53724,Mid Level
11.7,51361,Mid Level
8.5,41195,Mid Level
15.1,63130,Senior Level
8.3,53771,Senior Level
18.8,69784,Senior Level
8.1,56390,Senior Level
8.2,67224,Senior Level
17.4,56946,Senior Level
6.3,50018,Senior Level
13.8,57387,Senior Level
16.7,52026,Senior Level
17.0,59945,Senior Level
14.1,80927,Executive Level
13.7,65846,Executive Level
20.2,59927,Executive Level
9.8,59562,Executive Level
12.1,63277,Executive Level
13.7,78133,Executive Level
16.4,60631,Executive Level
9.7,64031,Executive Level
20.5,75116,Executive Level
17.2,61266,Executive Level
