experience,salary,level
0.2,45777,Entry Level
6.8,42856,Entry Level
0.3,32503,Entry Level
5.3,34519,Entry Level
6.2,33785,Entry Level
2.7,47426,Entry Level
5.0,33780,Entry Level
0.1,35333,Entry Level
8.0,38882,Entry Level
1.6,43644,Entry Level
7.4,36750,Entry Level
7.8,35927,Entry Level
9.0,45400,Mid Level
6.7,51588,Mid Level
2.5,51176,Mid Level
8.9,41733,Mid Level
8.5,42135,Mid Level
2.5,55115,Mid Level
2.3,49893,Mid Level
8.9,41789,Mid Level
10.7,50049,Mid Level
12.0,54431,Mid Level
8.3,44830,Mid Level
7.2,53654,Mid Level
4.8,55048,Mid Level
4.2,51272,Mid Level
19.1,52984,Senior Level
14.5,59983,Senior Level
14.7,52581,Senior Level
13.8,52074,Senior Level
6.6,54403,Senior Level
8.4,60834,Senior Level
8.9,60600,Senior Level
15.8,63321,Senior Level
10.6,69499,Senior Level
8.2,69948,Senior Level
11.9,54482,Senior Level
15.4,54449,Senior Level
15.3,63395,Senior Level
7.5,51358,Senior Level
14.0,80015,Executive Level
21.4,67017,Executive Level
15.2,62811,Executive Level
12.6,80000,Executive Level
16.2,60965,Executive Level
16.6,67816,Executive Level
15.9,69245,Executive Level
10.8,76176,Executive Level
15.1,58642,Executive Level
19.3,71010,Executive Level
20.2,67435,Executive Level
24.9,64038,Executive Level
16.1,63759,Executive Level
