experience,salary,level
3.8,45609,Entry Level
2.0,43647,Entry Level
4.1,37540,Entry Level
7.6,41879,Entry Level
3.2,39443,Entry Level
0.8,42387,Entry Level
2.3,35177,Entry Level
5.5,40420,Entry Level
0.7,33164,Entry Level
5.8,36249,Entry Level
1.1,34116,Entry Level
6.9,35753,Entry Level
4.7,32519,Entry Level
2.8,33549,Entry Level
3.5,36709,Entry Level
5.5,56349,Mid Level
3.7,53512,Mid Level
4.0,57964,Mid Level
10.6,58219,Mid Level
5.2,44824,Mid Level
9.1,52957,Mid Level
10.1,50116,Mid Level
11.5,58304,Mid Level
3.1,47023,Mid Level
5.6,42249,Mid Level
5.3,48166,Mid Level
3.4,44076,Mid Level
2.3,57136,Mid Level
6.6,54711,Senior Level
15.5,60966,Senior Level
12.7,62491,Senior Level
7.8,68516,Senior Level
8.6,53743,Senior Level
15.2,63463,Senior Level
15.6,60633,Senior Level
14.4,68693,Senior Level
13.5,50969,Senior Level
15.6,51179,Senior Level
7.9,65173,Senior Level
14.9,58200,Executive Level
16.4,60104,Executive Level
17.1,72544,Executive Level
16.5,73307,Executive Level
15.4,66743,Executive Level
19.5,71740,Executive Level
19.5,81306,Executive Level
15.3,71012,Executive Level
14.6,66322,Executive Level
22.1,60526,Executive Level
25.0,59222,Executive Level
14.1,76219,Executive Level
19.9,63888,Executive Level
9.1,60790,Executive Level
