experience,salary,level
1.0,44561,Entry Level
5.2,39823,Entry Level
5.3,36150,Entry Level
1.3,38704,Entry Level
1.2,47588,Entry Level
5.9,45168,Entry Level
2.7,45173,Entry Level
6.6,45929,Entry Level
7.7,32168,Entry Level
1.6,45968,Entry Level
6.0,44442,Entry Level
2.2,43080,Entry Level
3.3,33441,Entry Level
4.0,41942,Entry Level
10.2,47065,Mid Level
10.6,58322,Mid Level
3.0,57313,Mid Level
3.1,44640,Mid Level
3.5,47746,Mid Level
10.1,44998,Mid Level
10.3,49115,Mid Level
8.4,44806,Mid Level
8.8,42735,Mid Level
7.4,47750,Mid Level
9.6,51913,Mid Level
9.0,44715,Mid Level
3.1,41340,Mid Level
9.6,57222,Senior Level
15.0,64315,Senior Level
18.4,54402,Senior Level
6.7,52532,Senior Level
13.8,59222,Senior Level
16.6,64105,Senior Level
8.5,53216,Senior Level
17.0,59261,Senior Level
14.8,69946,Senior Level
19.0,65983,Senior Level
10.6,61713,Senior Level
24.0,78577,Executive Level
15.0,79160,Executive Level
22.7,67915,Executive Level
15.7,62067,Executive Level
20.7,58514,Executive Level
12.8,70077,Executive Level
15.0,80580,Executive Level
19.7,75091,Executive Level
16.6,77712,Executive Level
24.5,69088,Executive Level
