experience,salary,level
2.0,37696,Entry Level
5.1,42677,Entry Level
4.5,39380,Entry Level
4.4,47752,Entry Level
4.9,42432,Entry Level
3.0,33610,Entry Level
6.4,38470,Entry Level
1.7,45309,Entry Level
3.7,39286,Entry Level
6.2,36033,Entry Level
2.4,46637,Entry Level
7.3,48000,Entry Level
3.1,39426,Entry Level
0.6,33805,Entry Level
6.2,32087,Entry Level
11.1,47997,Mid Level
7.2,57673,Mid Level
9.0,43463,Mid Level
9.8,55939,Mid Level
9.5,56546,Mid Level
10.8,46998,Mid Level
9.6,53322,Mid Level
7.4,56084,Mid Level
7.6,52168,Mid Level
4.8,41104,Mid Level
19.0,66083,Senior Level
12.6,60902,Senior Level
7.7,52718,Senior Level
11.7,57991,Senior Level
19.6,61550,Senior Level
5.4,56866,Senior Level
8.3,60536,Senior Level
15.6,51268,Senior Level
13.7,50722,Senior Level
16.8,65088,Senior Level
9.1,60295,Senior Level
12.9,78737,Executive Level
10.5,71058,Executive Level
23.2,64878,Executive Level
24.3,76776,Executive Level
16.7,65202,Executive Level
10.9,63649,Executive Level
18.1,61479,Executive Level
22.6,62729,Executive Level
13.1,80674,Executive Level
12.4,59052,Executive Level
15.6,80235,Executive Level
11.5,74873,Executive Level
22.0,76581,Executive Level
20.5,70671,Executive Level
