experience,salary,level
2.9,43698,Entry Level
0.9,45822,Entry Level
0.0,33967,Entry Level
0.1,46920,Entry Level
2.4,32451,Entry Level
1.8,46452,Entry Level
3.4,45666,Entry Level
4.2,37292,Entry Level
3.5,43391,Entry Level
3.3,34807,Entry Level
6.4,39601,Entry Level
0.5,38508,Entry Level
3.3,37368,Entry Level
8.1,45719,Mid Level
10.2,54111,Mid Level
7.4,53805,Mid Level
9.2,45661,Mid Level
10.7,46213,Mid Level
5.3,52902,Mid Level
7.5,46919,Mid Level
4.5,47190,Mid Level
2.3,57981,Mid Level
5.1,46897,Mid Level
3.6,41688,Mid Level
5.4,48250,Mid Level
8.8,46662,Mid Level
5.1,51592,Senior Level
15.4,65364,Senior Level
14.5,53109,Senior Level
9.6,65930,Senior Level
16.7,52963,Senior Level
18.4,64193,Senior Level
7.9,57066,Senior Level
17.8,51365,Senior Level
12.6,63425,Senior Level
8.2,67853,Senior Level
11.4,53112,Senior Level
6.4,56717,Senior Level
6.7,56275,Senior Level
10.4,64206,Senior Level
23.2,73832,Executive Level
22.1,63318,Executive Level
18.7,71927,Executive Level
22.9,65464,Executive Level
23.2,58190,Executive Level
9.2,68824,Executive Level
10.6,73556,Executive Level
13.0,60828,Executive Level
23.6,76039,Executive Level
16.9,61436,Executive Level
10.5,71254,Executive Level
11.4,69203,Executive Level
