experience,salary,level
7.4,40058,Entry Level
3.1,39353,Entry Level
1.4,43484,Entry Level
7.0,44398,Entry Level
6.3,47673,Entry Level
2.7,41091,Entry Level
3.3,47811,Entry Level
4.6,35170,Entry Level
2.3,34709,Entry Level
2.3,36997,Entry Level
3.8,35499,Entry Level
6.7,34296,Entry Level
1.9,40958,Entry Level
5.2,45448,Entry Level
11.7,52446,Mid Level
3.1,56480,Mid Level
9.6,56882,Mid Level
11.3,49961,Mid Level
2.7,46644,Mid Level
5.3,48322,Mid Level
4.1,54829,Mid Level
5.2,46880,Mid Level
7.8,50521,Mid Level
2.8,49100,Mid Level
5.4,51322,Mid Level
3.9,46406,Mid Level
10.9,47259,Mid Level
5.3,47094,Mid Level
4.6,43438,Mid Level
17.8,62696,Senior Level
19.5,52904,Senior Level
8.3,67670,Senior Level
10.6,53979,Senior Level
14.2,68219,Senior Level
16.4,65462,Senior Level
10.4,61552,Senior Level
10.3,62086,Senior Level
7.6,57079,Senior Level
14.0,53104,Senior Level
18.3,68359,Senior Level
13.4,64562,Senior Level
13.8,81685,Executive Level
10.0,63542,Executive Level
21.0,62692,Executive Level
11.2,65834,Executive Level
15.1,68813,Executive Level
17.4,61590,Executive Level
19.0,71127,Executive Level
11.3,59374,Executive Level
22.6,80284,Executive Level
18.7,66633,Executive Level
