experience,salary,level
5.8,43500,Entry Level
0.3,47296,Entry Level
2.4,37654,Entry Level
2.7,34463,Entry Level
4.7,43513,Entry Level
0.9,43858,Entry Level
5.0,43650,Entry Level
5.1,46645,Entry Level
5.8,42862,Entry Level
1.8,34346,Entry Level
3.9,33865,Entry Level
0.6,38951,Entry Level
3.1,56596,Mid Level
10.3,56470,Mid Level
4.2,44010,Mid Level
11.8,47498,Mid Level
8.8,58915,Mid Level
8.2,57726,Mid Level
9.2,56112,Mid Level
8.4,57225,Mid Level
6.4,57407,Mid Level
8.2,48652,Mid Level
3.6,46092,Mid Level
9.2,46493,Mid Level
11.3,49784,Mid Level
8.1,49503,Mid Level
2.7,43744,Mid Level
5.7,51456,Senior Level
14.5,62344,Senior Level
18.4,66593,Senior Level
15.2,60943,Senior Level
12.1,63646,Senior Level
6.9,58763,Senior Level
16.0,58702,Senior Level
18.2,59740,Senior Level
11.1,56630,Senior Level
10.9,64076,Senior Level
20.5,65448,Executive Level
23.5,74375,Executive Level
23.9,69681,Executive Level
18.4,62350,Executive Level
19.5,64200,Executive Level
19.7,73206,Executive Level
19.2,71331,Executive Level
10.2,61709,Executive Level
16.6,72091,Executive Level
16.2,77275,Executive Level
14.1,78048,Executive Level
19.6,71674,Executive Level
12.3,71481,Executive Level
14.8,72758,Executive Level
24.7,58821,Executive Level
