experience,salary,level
7.7,37085,Entry Level
4.2,46444,Entry Level
6.5,34905,Entry Level
6.4,37006,Entry Level
0.3,33303,Entry Level
4.0,37188,Entry Level
0.6,32784,Entry Level
7.7,33790,Entry Level
5.9,47385,Entry Level
7.7,35885,Entry Level
0.0,33737,Entry Level
2.4,40295,Entry Level
11.6,55733,Mid Level
2.0,56891,Mid Level
3.4,54285,Mid Level
10.7,48154,Mid Level
8.5,41920,Mid Level
3.1,55030,Mid Level
4.8,49618,Mid Level
7.6,55904,Mid Level
8.4,53961,Mid Level
4.5,43455,Mid Level
7.3,57528,Mid Level
10.8,43847,Mid Level
2.7,55928,Mid Level
16.8,61496,Senior Level
15.7,61934,Senior Level
18.7,67491,Senior Level
13.8,51398,Senior Level
8.2,63571,Senior Level
7.4,50035,Senior Level
14.5,56677,Senior Level
15.9,65113,Senior Level
19.5,53913,Senior Level
15.8,64676,Senior Level
16.6,57695,Senior Level
14.4,63674,Senior Level
18.0,56656,Senior Level
16.8,54821,Senior Level
8.7,74133,Executive Level
23.2,61641,Executive Level
19.1,70192,Executive Level
22.9,78359,Executive Level
16.4,63417,Executive Level
17.6,75234,Executive Level
17.4,73245,Executive Level
12.8,62425,Executive Level
16.5,62775,Executive Level
20.3,64134,Executive Level
16.4,78084,Executive Level
12.7,63383,Executive Level
11.7,67903,Executive Level
