experience,salary,level
0.1,34068,Entry Level
7.7,33809,Entry Level
2.3,33754,Entry Level
2.9,39056,Entry Level
7.2,33989,Entry Level
3.1,35912,Entry Level
2.3,43355,Entry Level
1.0,44029,Entry Level
1.8,37090,Entry Level
2.1,46433,Entry Level
2.9,36710,Entry Level
10.5,51282,Mid Level
3.5,50906,Mid Level
7.8,52667,Mid Level
4.8,41114,Mid Level
2.4,46594,Mid Level
4.8,49547,Mid Level
3.0,46359,Mid Level
11.0,41410,Mid Level
6.3,58095,Mid Level
2.8,43483,Mid Level
10.1,48321,Mid Level
11.1,44060,Mid Level
11.3,54978,Mid Level
9.9,43782,Mid Level
2.2,42648,Mid Level
11.1,51022,Senior Level
13.2,57349,Senior Level
10.5,61172,Senior Level
17.2,61302,Senior Level
11.0,69238,Senior Level
7.1,65632,Senior Level
16.1,60939,Senior Level
11.1,66022,Senior Level
9.3,50461,Senior Level
18.1,63086,Senior Level
5.8,55037,Senior Level
7.3,61419,Senior Level
16.0,51959,Senior Level
22.9,71251,Executive Level
9.5,63244,Executive Level
14.1,80694,Executive Level
15.3,66459,Executive Level
12.4,74067,Executive Level
11.7,78541,Executive Level
23.2,70574,Executive Level
15.7,68322,Executive Level
14.9,79016,Executive Level
11.5,74589,Executive Level
8.9,77940,Executive Level
24.4,76973,Executive Level
