experience,salary,level
2,48000,Entry Level
4,52000,Entry Level
6,56000,Entry Level
8,49000,Entry Level
3,54000,Entry Level
7,47000,Entry Level
10,58000,Entry Level
1,45000,Entry Level
9,51000,Entry Level
5,53000,Entry Level
3,55000,Mid Level
5,52000,Mid Level
7,59000,Mid Level
9,54000,Mid Level
4,61000,Mid Level
8,50000,Mid Level
11,63000,Mid Level
2,57000,Mid Level
10,56000,Mid Level
6,58000,Mid Level
5,62000,Senior Level
7,59000,Senior Level
9,66000,Senior Level
11,61000,Senior Level
6,68000,Senior Level
10,57000,Senior Level
12,70000,Senior Level
4,64000,Senior Level
11,63000,Senior Level
8,65000,Senior Level
7,68000,Executive Level
9,65000,Executive Level
11,72000,Executive Level
13,69000,Executive Level
8,74000,Executive Level
12,66000,Executive Level
13,76000,Executive Level
6,71000,Executive Level
12,68000,Executive Level
10,73000,Executive Level
