experience,salary,level
0.4,32056,Entry Level
3.0,33102,Entry Level
4.3,38287,Entry Level
6.8,43052,Entry Level
4.1,47154,Entry Level
3.2,47740,Entry Level
3.6,37999,Entry Level
6.8,42726,Entry Level
7.3,47520,Entry Level
6.7,41320,Entry Level
0.7,35469,Entry Level
7.1,42884,Entry Level
5.0,34895,Entry Level
7.7,40815,Entry Level
4.6,45018,Entry Level
2.8,49809,Mid Level
7.3,45656,Mid Level
11.1,46735,Mid Level
2.7,53384,Mid Level
5.4,42806,Mid Level
11.2,54183,Mid Level
6.8,57579,Mid Level
10.7,50599,Mid Level
7.4,56464,Mid Level
4.4,46002,Mid Level
8.1,51709,Mid Level
7.2,46823,Mid Level
6.6,50003,Senior Level
9.1,67467,Senior Level
6.1,62853,Senior Level
8.0,60102,Senior Level
12.9,52561,Senior Level
12.1,56675,Senior Level
19.0,56587,Senior Level
19.5,53049,Senior Level
16.4,67915,Senior Level
18.4,57614,Senior Level
6.5,57811,Senior Level
9.9,59536,Senior Level
17.1,60519,Senior Level
5.3,52101,Senior Level
13.7,66156,Executive Level
22.8,81386,Executive Level
17.2,58378,Executive Level
11.1,76400,Executive Level
17.9,59221,Executive Level
22.4,80951,Executive Level
16.9,69253,Executive Level
14.7,79939,Executive Level
18.5,81221,Executive Level
8.2,61230,Executive Level
9.3,75094,Executive Level
14.6,68219,Executive Level
24.1,80973,Executive Level
