experience,salary,level
1.0,37527,Entry Level
3.8,33200,Entry Level
6.5,46724,Entry Level
1.1,41932,Entry Level
6.9,39734,Entry Level
3.2,46963,Entry Level
6.1,36245,Entry Level
0.9,40115,Entry Level
6.8,39981,Entry Level
5.5,39534,Entry Level
6.7,47710,Entry Level
1.8,38366,Entry Level
7.6,57110,Mid Level
8.9,54287,Mid Level
3.9,50812,Mid Level
3.1,54420,Mid Level
4.2,43538,Mid Level
5.5,52118,Mid Level
7.1,54644,Mid Level
8.3,49507,Mid Level
7.1,45690,Mid Level
5.1,45496,Mid Level
5.4,57138,Mid Level
8.3,59413,Senior Level
6.1,54644,Senior Level
6.6,64061,Senior Level
12.7,57562,Senior Level
14.0,55126,Senior Level
7.0,69920,Senior Level
5.5,54410,Senior Level
8.5,58051,Senior Level
5.2,61845,Senior Level
5.7,54462,Senior Level
12.7,65127,Senior Level
16.7,54318,Senior Level
19.6,73479,Executive Level
9.3,81714,Executive Level
10.9,81626,Executive Level
23.3,60614,Executive Level
10.7,58450,Executive Level
12.5,66533,Executive Level
21.0,62063,Executive Level
12.3,59856,Executive Level
22.3,58226,Executive Level
21.4,60316,Executive Level
