experience,salary,level
4.7,42150,Entry Level
2.3,46561,Entry Level
4.1,40578,Entry Level
3.9,44455,Entry Level
6.1,44971,Entry Level
5.1,37352,Entry Level
4.0,43739,Entry Level
7.6,37814,Entry Level
7.2,39314,Entry Level
2.3,45039,Entry Level
4.4,34715,Entry Level
7.4,47632,Entry Level
5.7,34167,Entry Level
5.1,45978,Mid Level
9.6,48222,Mid Level
3.1,55902,Mid Level
3.6,51865,Mid Level
7.6,41735,Mid Level
6.0,57443,Mid Level
10.1,46569,Mid Level
7.1,50390,Mid Level
11.0,47436,Mid Level
6.6,55936,Mid Level
12.4,68966,Senior Level
8.1,62453,Senior Level
11.0,56548,Senior Level
19.0,54041,Senior Level
16.9,64937,Senior Level
5.2,68693,Senior Level
10.4,52803,Senior Level
19.2,65450,Senior Level
12.1,50616,Senior Level
9.0,62031,Senior Level
13.0,52125,Senior Level
10.2,54538,Senior Level
9.8,50959,Senior Level
10.7,69459,Senior Level
19.7,68930,Senior Level
15.6,63931,Executive Level
13.5,72417,Executive Level
13.2,78213,Executive Level
21.2,60696,Executive Level
14.0,75763,Executive Level
12.2,60271,Executive Level
23.2,60018,Executive Level
24.1,77976,Executive Level
13.0,62899,Executive Level
8.6,80421,Executive Level
24.8,74810,Executive Level
21.8,69942,Executive Level
