experience,salary,level
2.5,42920,Entry Level
5.8,35484,Entry Level
3.5,39622,Entry Level
7.9,44920,Entry Level
3.7,34804,Entry Level
3.3,36834,Entry Level
5.2,47313,Entry Level
3.3,47410,Entry Level
2.7,43654,Entry Level
7.6,35343,Entry Level
8.0,42334,Entry Level
11.0,44477,Mid Level
9.3,41437,Mid Level
7.9,57700,Mid Level
6.3,58983,Mid Level
8.6,42436,Mid Level
6.5,50371,Mid Level
4.6,54090,Mid Level
7.7,49512,Mid Level
8.6,41190,Mid Level
3.3,55507,Mid Level
9.6,51227,Mid Level
3.4,41406,Mid Level
3.4,43121,Mid Level
3.8,53081,Mid Level
4.2,45214,Mid Level
19.2,68902,Senior Level
6.8,66325,Senior Level
10.9,64304,Senior Level
10.0,55323,Senior Level
9.0,56103,Senior Level
18.5,54405,Senior Level
9.9,58573,Senior Level
14.2,64921,Senior Level
16.8,63717,Senior Level
13.9,55942,Senior Level
6.2,62578,Senior Level
14.5,55079,Senior Level
14.7,53513,Senior Level
16.3,66798,Senior Level
15.1,60476,Executive Level
15.6,70692,Executive Level
24.6,76384,Executive Level
10.0,62190,Executive Level
19.6,68773,Executive Level
9.1,62693,Executive Level
21.5,80767,Executive Level
15.5,72787,Executive Level
14.8,68058,Executive Level
18.8,73557,Executive Level
13.7,64995,Executive Level
12.5,80618,Executive Level
