experience,salary,level
4.1,34376,Entry Level
2.4,43658,Entry Level
6.5,41332,Entry Level
5.4,38735,Entry Level
3.1,42433,Entry Level
0.9,41346,Entry Level
0.8,39687,Entry Level
7.0,34632,Entry Level
6.4,46960,Entry Level
6.1,39143,Entry Level
6.9,37553,Entry Level
1.3,39455,Entry Level
4.9,45661,Entry Level
2.6,42594,Entry Level
3.8,44339,Mid Level
4.4,44815,Mid Level
10.2,45957,Mid Level
11.4,58164,Mid Level
4.4,42615,Mid Level
7.1,42046,Mid Level
5.6,41739,Mid Level
2.1,44023,Mid Level
7.8,52832,Mid Level
7.4,55558,Mid Level
4.2,45530,Mid Level
16.7,62078,Senior Level
10.9,67719,Senior Level
8.5,57198,Senior Level
8.9,51548,Senior Level
7.3,54986,Senior Level
18.8,50336,Senior Level
12.2,60242,Senior Level
14.5,59828,Senior Level
9.2,54973,Senior Level
11.9,57290,Senior Level
12.9,72777,Executive Level
13.9,65843,Executive Level
10.1,74843,Executive Level
13.0,80302,Executive Level
15.8,65029,Executive Level
18.6,58918,Executive Level
14.5,79052,Executive Level
23.1,59421,Executive Level
21.0,75118,Executive Level
16.2,63480,Executive Level
20.1,76482,Executive Level
12.1,70503,Executive Level
24.2,68363,Executive Level
10.1,81212,Executive Level
