experience,salary,level
6.8,45442,Entry Level
2.5,36806,Entry Level
2.0,44597,Entry Level
7.4,39387,Entry Level
7.0,43258,Entry Level
4.2,34842,Entry Level
3.7,32171,Entry Level
4.7,36582,Entry Level
2.7,35279,Entry Level
2.5,35562,Entry Level
4.1,34853,Entry Level
4.1,43456,Entry Level
1.0,33903,Entry Level
5.9,44915,Entry Level
3.3,34535,Entry Level
10.7,58693,Mid Level
5.6,46314,Mid Level
3.8,58007,Mid Level
11.3,44341,Mid Level
10.6,46919,Mid Level
5.3,47363,Mid Level
10.0,53245,Mid Level
2.5,43748,Mid Level
4.2,48418,Mid Level
6.3,48078,Mid Level
10.0,50153,Mid Level
4.8,47143,Mid Level
5.7,62587,Senior Level
9.1,63955,Senior Level
9.1,67522,Senior Level
9.4,57923,Senior Level
11.2,67017,Senior Level
16.0,61666,Senior Level
15.7,51414,Senior Level
18.1,62979,Senior Level
19.3,62490,Senior Level
13.1,69413,Senior Level
9.5,54966,Senior Level
8.6,51732,Senior Level
14.4,60604,Senior Level
12.4,57521,Senior Level
11.9,60877,Executive Level
24.8,69990,Executive Level
16.8,58505,Executive Level
25.0,67565,Executive Level
24.7,77238,Executive Level
24.2,69184,Executive Level
19.1,70606,Executive Level
13.9,80517,Executive Level
21.4,73648,Executive Level
18.2,78298,Executive Level
22.7,61503,Executive Level
15.1,80926,Executive Level
24.3,63198,Executive Level
