experience,salary,level
3.8,37279,Entry Level
5.9,41607,Entry Level
7.7,34503,Entry Level
6.4,40052,Entry Level
5.9,47581,Entry Level
0.5,41423,Entry Level
5.8,43639,Entry Level
3.1,33622,Entry Level
6.1,44168,Entry Level
2.9,47529,Entry Level
4.5,40329,Entry Level
4.9,47126,Entry Level
7.3,55042,Mid Level
9.5,52368,Mid Level
6.8,44511,Mid Level
5.3,45811,Mid Level
2.3,55869,Mid Level
4.2,54764,Mid Level
8.5,42098,Mid Level
4.1,45251,Mid Level
6.0,47341,Mid Level
2.7,44995,Mid Level
5.9,51953,Mid Level
9.4,57543,Mid Level
18.2,55868,Senior Level
5.1,62882,Senior Level
10.8,65132,Senior Level
10.0,54771,Senior Level
6.4,59274,Senior Level
11.8,62068,Senior Level
15.3,61900,Senior Level
19.4,54160,Senior Level
19.6,57046,Senior Level
18.8,68300,Senior Level
14.3,59660,Senior Level
12.8,57645,Senior Level
13.5,62146,Senior Level
25.0,71293,Executive Level
14.6,74021,Executive Level
22.6,66294,Executive Level
10.0,80747,Executive Level
14.9,63183,Executive Level
19.1,73017,Executive Level
24.6,73416,Executive Level
10.4,61827,Executive Level
9.6,61015,Executive Level
16.2,80034,Executive Level
