Yr,Sls
1924,54
1925,57
1926,61
1927,65
1928,69
1929,73
1930,77
1931,82
1932,86
1933,91
1934,95
1935,99
1936,104
1937,109
1938,113
1939,118
1940,102
1941,107
1942,112
1943,116
1944,121
1945,126
1946,130
1947,135
1948,140
1949,145
1950,150
1951,154
1952,159
1953,164
1954,169
1955,174
1956,179
1957,184
1958,188
1959,193
1960,178
1961,183
1962,188
1963,193
1964,198
1965,203
1966,208
1967,213
1968,218
1969,223
1970,228
1971,1500
1972,1500
1973,1500
1974,1500
1975,1500
1976,1500
1977,1500
1978,1500
1979,1500
1980,1505
1981,1507
1982,1510
1983,1513
1984,1516
1985,1519
1986,1522
1987,1525
1988,1528
1989,1532
1990,1535
1991,1538
1992,1541
1993,1544
1994,1547
1995,1550
1996,1554
1997,1557
1998,1560
1999,1563
2000,1541
2001,1545
2002,1548
2003,1551
2004,1554
2005,1557
2006,1561
2007,1564
2008,1567
2009,1570
2010,1574
2011,1577
2012,1580
2013,1583
2014,1587
2015,1590
2016,1593
2017,1596
2018,1600
2019,1603
2020,1606
2021,1609
2022,1613
2023,1616
2024,1619
