Yr,Val
1924,104
1925,106
1926,109
1927,111
1928,114
1929,117
1930,119
1931,122
1932,125
1933,128
1934,130
1935,133
1936,136
1937,139
1938,141
1939,144
1940,147
1941,150
1942,153
1943,156
1944,158
1945,136
1946,139
1947,142
1948,145
1949,148
1950,150
1951,153
1952,156
1953,159
1954,162
1955,165
1956,168
1957,170
1958,173
1959,176
1960,179
1961,182
1962,185
1963,188
1964,191
1965,194
1966,196
1967,199
1968,202
1969,205
1970,183
1971,186
1972,189
1973,192
1974,195
1975,198
1976,201
1977,203
1978,206
1979,209
1980,212
1981,215
1982,218
1983,221
1984,224
1985,227
1986,230
1987,233
1988,236
1989,239
1990,242
1991,245
1992,247
1993,250
1994,253
1995,231
1996,234
1997,237
1998,240
1999,243
2000,246
2001,249
2002,252
2003,255
2004,258
2005,261
2006,264
2007,267
2008,270
2009,273
2010,276
2011,279
2012,282
2013,285
2014,288
2015,291
2016,294
2017,296
2018,299
2019,302
2020,280
2021,283
2022,286
2023,289
2024,292
