TinyYear,TinySales
1924,50
1925,62
1926,78
1927,93
1928,118
1929,152
1930,187
1931,238
1932,303
1933,377
1934,482
1935,602
1936,735
1937,895
1938,1085
1939,1297
1940,1548
1941,1815
1942,2092
1943,2467
1944,2842
1945,3318
1946,3815
1947,4376
1948,5124
1949,5890
1950,6785
1951,7810
1952,8932
1953,10037
1954,11184
1955,12445
1956,13928
1957,15387
1958,16952
1959,18420
1960,20184
1961,21732
1962,23385
1963,25168
1964,26847
1965,28412
1966,30138
1967,31902
1968,33557
1969,35502
1970,36982
1971,35905
1972,34097
1973,32204
1974,15124
1975,13876
1976,13785
1977,13401
1978,10108
1979,9153
1980,8167
1981,8349
1982,8573
1983,8822
1984,9074
1985,9278
1986,9486
1987,9724
1988,9862
1989,10148
1990,10621
1991,11104
1992,11675
1993,12024
1994,12548
1995,13052
1996,13598
1997,14196
1998,14421
1999,15093
2000,16067
2001,17083
2002,18134
2003,19151
2004,20048
2005,21129
2006,22074
2007,23091
2008,24239
2009,25218
2010,26152
2011,27255
2012,28139
2013,29034
2014,30248
2015,31112
2016,32185
2017,33188
2018,34010
2019,35179
2020,36094
2021,37068
2022,38053
2023,39017
2024,40183
