Yr,Val
1924,116
1925,118
1926,121
1927,123
1928,126
1929,129
1930,131
1931,134
1932,137
1933,115
1934,117
1935,120
1936,123
1937,126
1938,128
1939,131
1940,134
1941,137
1942,140
1943,143
1944,145
1945,148
1946,151
1947,154
1948,157
1949,160
1950,162
1951,165
1952,168
1953,171
1954,174
1955,177
1956,180
1957,182
1958,160
1959,163
1960,166
1961,169
1962,172
1963,175
1964,178
1965,181
1966,183
1967,186
1968,189
1969,192
1970,195
1971,198
1972,201
1973,204
1974,207
1975,210
1976,213
1977,215
1978,218
1979,221
1980,224
1981,227
1982,230
1983,208
1984,211
1985,214
1986,217
1987,220
1988,223
1989,226
1990,229
1991,232
1992,234
1993,237
1994,240
1995,243
1996,246
1997,249
1998,252
1999,255
2000,258
2001,261
2002,264
2003,267
2004,270
2005,273
2006,276
2007,279
2008,257
2009,260
2010,263
2011,266
2012,269
2013,272
2014,275
2015,278
2016,281
2017,283
2018,286
2019,289
2020,292
2021,295
2022,298
2023,301
2024,304
