Yr,Sl
1924,50
1925,55
1926,60
1927,65
1928,70
1929,75
1930,80
1931,85
1932,90
1933,95
1934,100
1935,105
1936,110
1937,115
1938,120
1939,125
1940,130
1941,135
1942,140
1943,145
1944,150
1945,155
1946,160
1947,165
1948,170
1949,175
1950,180
1951,185
1952,190
1953,195
1954,200
1955,205
1956,210
1957,215
1958,220
1959,225
1960,230
1961,235
1962,240
1963,245
1964,250
1965,255
1966,260
1967,265
1968,270
1969,275
1970,280
1971,278
1972,276
1973,274
1974,272
1975,270
1976,268
1977,266
1978,262
1979,260
1980,258
1981,260
1982,262
1983,265
1984,268
1985,271
1986,274
1987,277
1988,280
1989,283
1990,286
1991,289
1992,292
1993,295
1994,298
1995,301
1996,304
1997,307
1998,310
1999,313
2000,316
2001,319
2002,322
2003,325
2004,328
2005,331
2006,334
2007,337
2008,340
2009,343
2010,346
2011,349
2012,352
2013,355
2014,358
2015,361
2016,364
2017,367
2018,370
2019,373
2020,376
2021,379
2022,382
2023,385
2024,390
