Year,Sales
1924,65
1925,68
1926,72
1927,76
1928,81
1929,65
1930,69
1931,73
1932,77
1933,82
1934,86
1935,90
1936,95
1937,99
1938,103
1939,108
1940,112
1941,116
1942,121
1943,125
1944,130
1945,134
1946,138
1947,143
1948,147
1949,132
1950,136
1951,141
1952,145
1953,150
1954,154
1955,159
1956,163
1957,168
1958,172
1959,177
1960,181
1961,1200
1962,1200
1963,1200
1964,1200
1965,1200
1966,1200
1967,1200
1968,1200
1969,1200
1970,1200
1971,1215
1972,1218
1973,1221
1974,1225
1975,1228
1976,1231
1977,1214
1978,1217
1979,1220
1980,1223
1981,1227
1982,1230
1983,1233
1984,1236
1985,1239
1986,1242
1987,1246
1988,1249
1989,1252
1990,1255
1991,1259
1992,1262
1993,1265
1994,1268
1995,1272
1996,1275
1997,1258
1998,1261
1999,1265
2000,1268
2001,1271
2002,1274
2003,1278
2004,1281
2005,1284
2006,1287
2007,1291
2008,1294
2009,1297
2010,1301
2011,1304
2012,1307
2013,1310
2014,1314
2015,1317
2016,1320
2017,1304
2018,1307
2019,1310
2020,1314
2021,1317
2022,1320
2023,1324
2024,1327
