Yr,Sls
1924,66
1925,69
1926,72
1927,76
1928,80
1929,84
1930,87
1931,91
1932,95
1933,99
1934,102
1935,106
1936,92
1937,96
1938,100
1939,104
1940,108
1941,112
1942,115
1943,119
1944,123
1945,127
1946,131
1947,135
1948,139
1949,143
1950,147
1951,151
1952,155
1953,159
1954,145
1955,149
1956,1000
1957,1000
1958,1000
1959,1000
1960,1000
1961,1000
1962,1000
1963,1000
1964,1000
1965,1000
1966,1010
1967,1013
1968,1016
1969,1020
1970,1023
1971,1027
1972,1031
1973,1034
1974,1038
1975,1042
1976,1100
1977,1100
1978,1100
1979,1100
1980,1100
1981,1100
1982,1100
1983,1100
1984,1100
1985,1100
1986,1105
1987,1108
1988,1111
1989,1114
1990,1117
1991,1120
1992,1123
1993,1126
1994,1129
1995,1132
1996,1135
1997,1138
1998,1141
1999,1145
2000,1148
2001,1151
2002,1134
2003,1137
2004,1140
2005,1143
2006,1146
2007,1149
2008,1152
2009,1156
2010,1159
2011,1162
2012,1165
2013,1168
2014,1171
2015,1174
2016,1178
2017,1181
2018,1184
2019,1187
2020,1190
2021,1193
2022,1176
2023,1180
2024,1183
