Yr,Sls
1924,58
1925,61
1926,65
1927,69
1928,73
1929,77
1930,81
1931,86
1932,90
1933,95
1934,99
1935,103
1936,88
1937,93
1938,97
1939,102
1940,106
1941,111
1942,116
1943,120
1944,125
1945,130
1946,134
1947,139
1948,144
1949,149
1950,154
1951,158
1952,163
1953,168
1954,173
1955,178
1956,163
1957,168
1958,172
1959,177
1960,182
1961,187
1962,192
1963,197
1964,202
1965,207
1966,212
1967,217
1968,222
1969,227
1970,232
1971,1500
1972,1500
1973,1500
1974,1500
1975,1500
1976,1500
1977,1500
1978,1500
1979,1500
1980,1507
1981,1509
1982,1512
1983,1515
1984,1518
1985,1521
1986,1524
1987,1527
1988,1530
1989,1534
1990,1537
1991,1540
1992,1543
1993,1546
1994,1549
1995,1552
1996,1556
1997,1559
1998,1537
1999,1540
2000,1543
2001,1547
2002,1550
2003,1553
2004,1556
2005,1559
2006,1563
2007,1566
2008,1569
2009,1572
2010,1576
2011,1579
2012,1582
2013,1585
2014,1589
2015,1592
2016,1595
2017,1598
2018,1602
2019,1605
2020,1608
2021,1611
2022,1615
2023,1593
2024,1596
