Year,Sales
1924,69
1925,52
1926,56
1927,60
1928,65
1929,69
1930,73
1931,77
1932,81
1933,86
1934,90
1935,94
1936,99
1937,103
1938,107
1939,112
1940,116
1941,120
1942,125
1943,129
1944,134
1945,118
1946,122
1947,127
1948,131
1949,136
1950,140
1951,145
1952,149
1953,154
1954,158
1955,163
1956,167
1957,172
1958,176
1959,181
1960,185
1961,1200
1962,1200
1963,1200
1964,1200
1965,1200
1966,1200
1967,1200
1968,1200
1969,1200
1970,1200
1971,1207
1972,1210
1973,1213
1974,1217
1975,1220
1976,1223
1977,1226
1978,1229
1979,1232
1980,1235
1981,1239
1982,1242
1983,1245
1984,1248
1985,1231
1986,1234
1987,1238
1988,1241
1989,1244
1990,1247
1991,1251
1992,1254
1993,1257
1994,1260
1995,1264
1996,1267
1997,1270
1998,1273
1999,1277
2000,1280
2001,1283
2002,1286
2003,1290
2004,1293
2005,1276
2006,1279
2007,1283
2008,1286
2009,1289
2010,1293
2011,1296
2012,1299
2013,1302
2014,1306
2015,1309
2016,1312
2017,1316
2018,1319
2019,1322
2020,1326
2021,1329
2022,1332
2023,1336
2024,1339
