Yr,Sls
1924,52
1925,55
1926,59
1927,63
1928,67
1929,71
1930,76
1931,80
1932,84
1933,88
1934,93
1935,97
1936,102
1937,106
1938,110
1939,115
1940,101
1941,106
1942,110
1943,115
1944,120
1945,124
1946,129
1947,133
1948,138
1949,143
1950,147
1951,152
1952,157
1953,161
1954,166
1955,171
1956,175
1957,180
1958,167
1959,171
1960,176
1961,162
1962,163
1963,164
1964,165
1965,166
1966,167
1967,168
1968,169
1969,170
1970,171
1971,188
1972,191
1973,194
1974,197
1975,200
1976,203
1977,206
1978,209
1979,212
1980,195
1981,198
1982,201
1983,204
1984,207
1985,210
1986,213
1987,216
1988,219
1989,222
1990,225
1991,228
1992,231
1993,234
1994,237
1995,240
1996,244
1997,247
1998,250
1999,253
2000,236
2001,239
2002,242
2003,245
2004,248
2005,252
2006,255
2007,258
2008,261
2009,264
2010,267
2011,270
2012,274
2013,277
2014,280
2015,283
2016,286
2017,289
2018,293
2019,296
2020,279
2021,282
2022,285
2023,288
2024,292
