TinyYear,TinySales
1924,90
1925,93
1926,96
1927,100
1928,104
1929,107
1930,111
1931,115
1932,119
1933,123
1934,127
1935,131
1936,135
1937,139
1938,144
1939,123
1940,127
1941,131
1942,135
1943,140
1944,144
1945,148
1946,152
1947,157
1948,161
1949,165
1950,170
1951,174
1952,178
1953,183
1954,187
1955,192
1956,196
1957,200
1958,205
1959,209
1960,214
1961,218
1962,223
1963,227
1964,207
1965,211
1966,216
1967,220
1968,225
1969,229
1970,234
1971,238
1972,243
1973,248
1974,252
1975,257
1976,800
1977,800
1978,800
1979,800
1980,800
1981,800
1982,800
1983,800
1984,800
1985,800
1986,800
1987,800
1988,800
1989,800
1990,800
1991,800
1992,800
1993,800
1994,800
1995,800
1996,800
1997,800
1998,800
1999,800
2000,800
2001,800
2002,800
2003,800
2004,800
2005,800
2006,800
2007,800
2008,800
2009,800
2010,800
2011,800
2012,800
2013,800
2014,800
2015,800
2016,800
2017,800
2018,800
2019,800
2020,800
2021,800
2022,800
2023,800
2024,800
