Yr,Sls
1924,50
1925,53
1926,57
1927,61
1928,65
1929,69
1930,74
1931,78
1932,82
1933,86
1934,91
1935,95
1936,100
1937,104
1938,108
1939,113
1940,117
1941,122
1942,108
1943,113
1944,118
1945,122
1946,127
1947,131
1948,136
1949,141
1950,145
1951,150
1952,155
1953,159
1954,164
1955,169
1956,173
1957,178
1958,183
1959,187
1960,174
1961,168
1962,169
1963,170
1964,171
1965,172
1966,173
1967,174
1968,175
1969,176
1970,177
1971,182
1972,185
1973,188
1974,191
1975,194
1976,197
1977,200
1978,203
1979,206
1980,209
1981,212
1982,215
1983,218
1984,201
1985,204
1986,207
1987,210
1988,213
1989,216
1990,219
1991,222
1992,225
1993,228
1994,231
1995,234
1996,238
1997,241
1998,244
1999,247
2000,250
2001,253
2002,256
2003,259
2004,242
2005,246
2006,249
2007,252
2008,255
2009,258
2010,261
2011,264
2012,268
2013,271
2014,274
2015,277
2016,280
2017,283
2018,287
2019,290
2020,293
2021,296
2022,299
2023,302
2024,286
