Yr,Sls
1924,0
1925,1
1926,2
1927,3
1928,4
1929,5
1930,6
1931,7
1932,8
1933,9
1934,10
1935,11
1936,12
1937,13
1938,14
1939,15
1940,16
1941,17
1942,18
1943,19
1944,20
1945,21
1946,22
1947,23
1948,24
1949,25
1950,26
1951,27
1952,28
1953,29
1954,30
1955,31
1956,32
1957,33
1958,34
1959,35
1960,36
1961,37
1962,38
1963,39
1964,40
1965,41
1966,42
1967,43
1968,44
1969,45
1970,46
1971,44
1972,41
1973,39
1974,15
1975,13
1976,12
1977,10
1978,2
1979,1
1980,0
1981,1
1982,2
1983,3
1984,4
1985,5
1986,6
1987,7
1988,8
1989,9
1990,11
1991,12
1992,13
1993,14
1994,15
1995,16
1996,17
1997,18
1998,19
1999,20
2000,22
2001,23
2002,24
2003,25
2004,26
2005,27
2006,28
2007,29
2008,30
2009,31
2010,32
2011,33
2012,34
2013,35
2014,36
2015,37
2016,38
2017,39
2018,40
2019,41
2020,42
2021,43
2022,44
2023,45
2024,46
