Yr,Sls
1924,70
1925,73
1926,76
1927,80
1928,84
1929,88
1930,91
1931,95
1932,81
1933,85
1934,88
1935,92
1936,96
1937,100
1938,104
1939,108
1940,112
1941,116
1942,119
1943,123
1944,127
1945,131
1946,135
1947,139
1948,143
1949,147
1950,133
1951,137
1952,141
1953,145
1954,149
1955,153
1956,1000
1957,1000
1958,1000
1959,1000
1960,1000
1961,1000
1962,1000
1963,1000
1964,1000
1965,1000
1966,1010
1967,1013
1968,1016
1969,1020
1970,1023
1971,1027
1972,1031
1973,1034
1974,1038
1975,1042
1976,1100
1977,1100
1978,1100
1979,1100
1980,1100
1981,1100
1982,1100
1983,1100
1984,1100
1985,1100
1986,1117
1987,1120
1988,1123
1989,1126
1990,1109
1991,1112
1992,1115
1993,1118
1994,1121
1995,1124
1996,1127
1997,1130
1998,1133
1999,1137
2000,1140
2001,1143
2002,1146
2003,1149
2004,1152
2005,1155
2006,1158
2007,1161
2008,1164
2009,1168
2010,1151
2011,1154
2012,1157
2013,1160
2014,1163
2015,1166
2016,1170
2017,1173
2018,1176
2019,1179
2020,1182
2021,1185
2022,1188
2023,1192
2024,1195
